Equation 1,Equation 2,Value of X,Value of Y
7x - 10y = -6,3x + 19y = 44,2,2
x + 8y = 69,5x + 6y = 73,5,8
5x + 15y = 30,3x + 14y = 23,3,1
x + 20y = 70,15x + 6y = 168,10,3
19x + 7y = 26,11x + 6y = 17,1,1
10x + 7y = 129,9x + 6y = 114,8,7
4x + 12y = 36,18x + 6y = 210,12,-1
19x - 14y = 59,11x + 15y = 219,9,8
11x + 17y = 139,3x + 17y = 75,8,3
8x + 13y = 45,9x + 16y = 52,4,1
2x + 20y = 178,15x + 11y = 223,9,8
13x + 4y = 148,5x + 13y = 34,12,-2
11x + 4y = 72,9x + 3y = 60,8,-4
10x - 15y = -215,7x + 2y = 37,1,15
18x + 6y = 54,13x + 19y = 83,2,3
11x + 8y = -53,16x + 15y = -104,1,-8
5x + 9y = 126,3x + 9y = 108,9,9
4x + 18y = 118,17x + 13y = 184,7,5
11x + 20y = 237,16x + 9y = 184,7,8
14x - 7y = 119,7x + 8y = 209,15,13
18x + 16y = 224,2x + 18y = 106,8,5
9x + 15y = 198,14x + 14y = 224,7,9
14x + y = 142,8x + 5y = 90,10,2
x + 15y = 79,19x + 19y = 171,4,5
11x - 18y = -146,13x + 11y = 247,8,13
15x + 4y = 50,x + 12y = 62,2,5
9x + 4y = 97,16x + 18y = 216,9,4
16x + 11y = 102,7x + 19y = 73,5,2
11x + 16y = 194,7x + 11y = 130,6,8
17x + 20y = 118,7x + 6y = 62,14,-6
13x + 6y = 20,17x + 5y = 29,2,-1
3x + 13y = 41,12x + 14y = 88,5,2
10x + 16y = 132,3x + 12y = 90,2,7
19x + 11y = 229,6x + 9y = 111,8,7
12x + 19y = 177,11x + 17y = 161,10,3
7x + 3y = 78,20x + 4y = 200,9,5
15x + 13y = 252,13x + 16y = 261,9,9
2x - 14y = -198,10x + 17y = 315,6,15
18x - 4y = 8,7x + 15y = 119,2,7
14x - 2y = 124,5x + 14y = 59,9,1
4x - 14y = -40,7x + 13y = 80,4,4
8x - 10y = -102,13x + 9y = 112,1,11
10x + 5y = -5,2x + 7y = -43,3,-7
6x + 17y = 139,6x + y = 59,9,5
20x - 3y = 217,20x + 7y = 227,11,1
5x - 10y = -75,14x + 16y = 186,3,9
11x - 10y = -119,18x + 16y = 226,1,13
10x + 8y = 50,13x + 12y = 49,13,-10
5x - 3y = 13,7x + 18y = 107,5,4
2x + y = 10,10x + 13y = 114,1,8
12x + 11y = 102,7x + 16y = 117,3,6
11x - 12y = -112,13x + 15y = 247,4,13
4x + 7y = 56,13x + 5y = 111,7,4
20x - 14y = 62,14x + 14y = 210,8,7
9x + 10y = 89,3x + 7y = 59,1,8
7x + 19y = 85,20x + 14y = 122,4,3
16x + 19y = 153,x + 17y = 57,6,3
3x - 6y = -66,4x + 20y = 304,6,14
19x + 13y = 50,8x + 10y = 12,4,-2
17x + y = 105,8x + 8y = 72,6,3
5x + 11y = 86,5x + 5y = 50,4,6
10x - 15y = -10,6x + 7y = 154,14,10
8x - 12y = -120,12x + 6y = 156,6,14
17x - 9y = 46,5x + 3y = 70,8,10
10x + 9y = -71,18x + 6y = -36,1,-9
11x - 7y = 17,8x + 16y = 160,6,7
10x + 15y = -5,12x + 5y = 59,7,-5
14x + 12y = 194,10x + 17y = 206,7,8
2x + 20y = -180,12x + 9y = 30,10,-10
8x + 19y = 35,8x + 12y = 28,2,1
5x + 2y = 24,12x + 17y = 143,2,7
12x - 9y = -39,15x + 16y = 142,2,7
11x + y = 67,15x + 8y = 98,6,1
17x + 18y = -60,5x + 14y = -96,6,-9
15x + 17y = 256,12x + 3y = 120,8,8
16x + 17y = 265,12x + 9y = 165,7,9
3x + 2y = 31,16x + 7y = 147,7,5
19x - 4y = 142,5x + 5y = 110,10,12
4x + 4y = 48,16x + 13y = 183,9,3
15x + y = 81,7x + 10y = 95,5,6
18x - 7y = 154,7x + 11y = 252,14,14
12x + 18y = 66,13x + 6y = 58,4,1
10x + 16y = 138,12x + 19y = 165,9,3
12x + 12y = 84,9x + 6y = 57,5,2
19x - 13y = 110,18x + 2y = 276,14,12
11x - 10y = 55,6x + 14y = 244,15,11
3x - 7y = -15,11x + 12y = 58,2,3
6x + 17y = 155,12x + 7y = 121,6,7
7x + y = 71,3x + 13y = 43,10,1
8x + 6y = 92,9x + 4y = 76,4,10
18x + 9y = 45,8x + 15y = -79,7,-9
8x - 4y = -4,8x + 7y = 95,4,9
3x + 15y = 36,16x + 14y = 60,2,2
3x + 13y = 73,2x + 9y = 50,7,4
8x + 8y = 144,7x + 7y = 126,8,10
15x + 14y = 232,6x + 4y = 80,8,8
11x - 8y = 25,8x + 4y = 28,3,1
3x + 4y = 29,14x + 13y = 124,7,2
9x + 7y = 54,12x + 10y = 66,13,-9
20x + 17y = 202,8x + 14y = 124,5,6
11x + 19y = 142,2x + 10y = 52,6,4
19x - 16y = -12,14x + 4y = 228,12,15
11x + 6y = 118,7x + 13y = 121,8,5
14x + 5y = 115,15x + 20y = 255,5,9
5x - 17y = -40,9x + 13y = 146,9,5
12x + 13y = 126,13x + 15y = 142,4,6
12x + 17y = 169,5x + 20y = 135,7,5
18x + 15y = 207,11x + 11y = 132,9,3
7x + 18y = -29,8x + 12y = -16,1,-2
14x + 20y = 6,9x + 19y = -33,9,-6
6x + 8y = 74,17x + 20y = 215,15,-2
16x + 14y = 270,15x + 2y = 153,9,9
18x + 15y = 123,5x + 16y = 46,6,1
10x + 4y = 26,13x + 10y = 29,3,-1
18x + 18y = 126,6x + 20y = -42,13,-6
12x + 10y = 74,10x + 2y = 30,2,5
2x + 14y = 18,14x + 2y = 30,2,1
8x + 14y = 122,10x + 10y = 130,10,3
18x + 7y = 60,17x + 20y = 137,1,6
13x - 18y = 84,7x + 18y = 156,12,4
18x + 8y = 78,15x + 3y = 54,3,3
8x - 14y = -42,8x + 18y = 310,14,11
3x - 9y = 18,11x + 13y = 158,12,2
11x + 16y = -78,12x + 2y = 54,6,-9
5x + 19y = 67,10x + 13y = 59,2,3
10x - 4y = 80,6x + 6y = 174,14,15
2x + 14y = -34,6x + 6y = 42,11,-4
9x + 8y = 22,2x + 3y = 0,6,-4
5x + 9y = -2,2x + 20y = -132,14,-8
16x + 12y = 116,16x + 13y = 107,14,-9
8x + 18y = -4,9x + 9y = 63,13,-6
6x + 6y = 12,6x + 2y = 16,3,-1
9x + 20y = 58,11x + 16y = 54,2,2
15x + 4y = -6,11x + 10y = -68,2,-9
5x + 7y = 34,10x + 7y = 54,4,2
4x - 17y = -101,14x + 4y = 218,13,9
2x - 4y = -38,12x + 6y = 102,3,11
15x + 20y = 175,13x + 4y = 125,9,2
13x - 7y = 25,16x + 5y = 235,10,15
11x + y = 93,18x + 10y = 194,8,5
x + 2y = 15,10x + 15y = 125,5,5
x + 5y = 54,x + 2y = 24,4,10
10x + 19y = -93,19x + 17y = -43,4,-7
11x + 19y = 188,6x + 8y = 86,5,7
13x + 12y = 137,19x + 5y = 125,5,6
8x + 14y = 86,7x + 5y = 39,2,5
7x - 9y = -85,17x + 18y = 232,2,11
4x + 13y = -26,17x + 9y = 167,13,-6
18x - 5y = -2,19x + 15y = 79,1,4
19x - 16y = 36,4x + 12y = 192,12,12
6x + 15y = 195,12x + 5y = 165,10,9
20x + 4y = 68,9x + 8y = 43,3,2
15x + 4y = 122,20x + 2y = 136,6,8
6x + 4y = 26,8x + 20y = 64,3,2
16x - 12y = -48,18x + 11y = 240,6,12
18x + 11y = 123,9x + 4y = 57,5,3
3x - 11y = -36,3x + 13y = 108,10,6
10x - 4y = 6,3x + 6y = 45,3,6
8x + 17y = 52,14x + 13y = 158,15,-4
3x + 11y = 134,6x + 6y = 108,8,10
15x + 13y = 118,8x + 20y = 76,7,1
20x + 20y = 200,13x + 10y = 103,1,9
12x - 13y = -26,16x + 20y = 488,13,14
11x + 20y = 171,13x + 14y = 125,1,8
6x + 14y = 182,17x + 9y = 209,7,10
18x + 20y = 228,13x + 19y = 192,6,6
17x - 17y = -136,2x + 4y = 74,7,15
3x - 15y = 6,15x + 3y = 186,12,2
9x - 12y = 12,11x + 9y = 62,4,2
2x + 15y = 68,6x + 13y = 76,4,4
19x + 11y = -20,6x + 10y = -52,3,-7
17x + 9y = 215,17x + 19y = 265,10,5
14x + 18y = 176,15x + 19y = 188,10,2
3x + 20y = -153,4x + 6y = -18,9,-9
13x + 12y = 101,17x + 11y = 118,5,3
18x + 10y = 134,2x + y = 14,3,8
5x - 15y = -55,11x + 6y = 74,4,5
9x - 14y = 25,5x + 6y = 69,9,4
20x + 14y = 298,15x + 3y = 171,10,7
16x - 4y = 176,14x + 16y = 310,13,8
13x + y = 83,8x + 16y = 128,6,5
4x + 13y = -60,8x + 4y = 56,11,-8
8x - 12y = 0,10x + 16y = 62,3,2
11x - 12y = -121,5x + 13y = 148,1,11
13x + 10y = 160,2x + 8y = 44,10,3
8x + 11y = 155,18x + 9y = 207,7,9
3x + 5y = 48,12x + 15y = 162,6,6
2x + 9y = -53,17x + 19y = -48,5,-7
7x + 6y = 67,14x + 20y = 214,1,10
17x + 2y = 92,2x + 6y = -18,6,-5
15x + 19y = 321,14x + 11y = 239,10,9
14x + 19y = -91,8x + 17y = -95,3,-7
16x - 4y = 56,6x + 14y = 52,4,2
7x + 8y = 106,12x + 4y = 104,6,8
20x + 19y = 232,10x + 7y = 96,4,8
18x + y = 79,17x + 12y = 152,4,7
16x + 2y = 108,13x + 15y = 61,7,-2
2x + 8y = 34,x + 7y = 26,5,3
20x - 15y = 210,3x + 8y = 93,15,6
12x + 11y = 82,20x + 17y = 134,5,2
14x - 18y = 6,8x + 19y = 267,12,9
7x + y = 17,10x + 3y = 29,2,3
8x + 18y = 252,7x + 9y = 153,9,10
13x - 2y = 167,7x + 8y = 217,15,14
3x + 13y = 116,11x + 8y = 108,4,8
18x + 8y = 222,19x + 11y = 219,15,-6
12x - 9y = 18,13x + 2y = 43,3,2
17x + 2y = 167,x + 12y = 93,9,7
10x - 6y = 56,17x + 18y = 349,11,9
11x + 17y = 179,6x + 11y = 108,7,6
15x + 5y = 85,3x + 6y = 42,4,5
2x + 19y = 151,7x + 2y = 77,9,7
2x - 16y = -176,10x + 14y = 248,8,12
20x - 10y = 250,9x + 12y = 129,13,1
3x + 20y = -4,15x + 16y = 148,12,-2
3x + 15y = 78,9x + 9y = 90,6,4
13x + 9y = 25,3x + 13y = -27,4,-3
16x + 11y = 237,4x + 12y = 124,10,7
8x + 18y = -58,15x + 2y = 177,13,-9
5x + 13y = -6,12x + 6y = 36,4,-2
9x - 18y = -162,15x + 16y = 374,10,14
9x - 17y = -27,11x + 5y = 199,14,9
2x + 10y = 106,18x + 12y = 174,3,10
19x + 14y = 89,15x + 4y = 35,1,5
15x + 11y = 26,13x + 9y = 22,1,1
9x + 6y = 102,4x + 12y = 120,6,8
11x + 8y = 149,17x + 3y = 146,7,9
12x - 16y = 96,3x + 15y = 81,12,3
14x - 3y = 34,18x + 9y = 198,5,12
17x + 2y = 145,14x + 13y = 74,9,-4
13x + 8y = 146,10x + 3y = 106,10,2
13x + 15y = 241,11x + 15y = 227,7,10
19x - 4y = 30,4x + 18y = 44,2,2
20x + 9y = 215,2x + 5y = 1,13,-5
6x + 7y = 27,2x + 9y = -51,15,-9
5x + 16y = -30,5x + 16y = -30,10,-5
12x + 4y = 124,10x + 2y = 98,9,4
19x - 2y = 185,18x + 10y = 318,11,12
13x + 9y = 97,x + 9y = 49,4,5
6x - 11y = -142,4x + 7y = 106,2,14
19x - 12y = -11,12x + 9y = 192,7,12
7x - 5y = 37,12x + 3y = 75,6,1
6x - 3y = 9,5x + 20y = 120,4,5
2x + 8y = 72,18x + 11y = 160,4,8
16x + 4y = 192,12x + 10y = 200,10,8
16x + 12y = 188,17x + y = 141,8,5
18x + 9y = 45,15x + 14y = 5,5,-5
8x - 8y = 16,20x + 6y = 66,3,1
5x + 5y = 10,6x + 14y = -28,7,-5
7x + 4y = 57,8x + y = 33,3,9
16x - 2y = 20,9x + 7y = 125,3,14
16x + 11y = 102,5x + 3y = 31,5,2
2x + 6y = 54,9x + 11y = 147,9,6
10x + 20y = 100,19x + y = 79,4,3
9x + 19y = 112,17x + 2y = 76,4,4
9x + 4y = 10,11x + 3y = 16,2,-2
8x + 12y = 144,13x + 11y = 149,3,10
4x + 16y = 32,4x + 2y = 46,12,-1
2x - 17y = -231,11x + 15y = 357,12,15
x + 15y = 36,6x + 19y = 74,6,2
11x + 14y = 92,14x + 15y = 103,2,5
17x + 2y = 63,3x + 11y = 75,3,6
8x + 18y = 154,14x + 4y = 132,8,5
11x + 15y = 140,2x + 13y = 46,10,2
17x + 15y = 288,9x + 5y = 126,9,9
7x - 6y = 61,9x + 2y = 127,13,5
2x + 15y = 50,16x + 3y = 166,10,2
11x + 3y = 76,6x + 13y = 121,5,7
16x + 6y = 190,14x + 5y = 165,10,5
6x - 11y = -24,14x + 18y = 206,7,6
13x - 10y = -22,12x + 14y = 212,6,10
10x + 6y = 144,2x + 14y = 144,9,9
5x + 20y = 210,11x + 9y = 182,10,8
9x + 6y = 96,10x + 2y = 60,4,10
15x + 2y = 69,11x + 12y = 19,5,-3
x + 4y = 33,6x + 12y = 102,1,8
6x + y = 34,19x + 13y = 147,5,4
2x + 15y = -18,7x + 19y = 4,6,-2
7x + 20y = 8,2x + 6y = 2,4,-1
20x + 8y = 0,3x + 17y = -79,2,-5
8x + 9y = 35,16x + 5y = 31,1,3
x + y = 10,18x + 3y = 120,6,4
2x - 7y = -69,18x + 6y = 138,4,11
8x + 9y = -6,18x + 6y = 72,6,-6
14x + 13y = 175,6x + 10y = 106,6,7
4x + 13y = 30,3x + 9y = 24,14,-2
7x + 3y = 47,6x + 11y = 74,5,4
5x + 3y = 31,x + 8y = 58,2,7
3x + 4y = 36,4x + 4y = 40,4,6
5x - 5y = 45,12x + 10y = 196,13,4
6x + 17y = 76,x + 17y = 41,7,2
10x + 19y = 241,12x + 2y = 102,7,9
16x - 15y = 81,3x + 19y = 37,6,1
6x + 14y = 152,16x + y = 151,9,7
16x + 17y = 167,17x + 11y = 128,3,7
7x + 11y = 54,10x + 8y = 108,14,-4
11x + 4y = 63,3x + 7y = 29,5,2
10x + 16y = 110,18x + 5y = 79,3,5
7x + 8y = 2,20x + 18y = 30,6,-5
10x - 2y = 74,14x + 6y = 174,9,8
2x + 13y = -98,16x + 9y = -24,3,-8
20x + 7y = 206,2x + 2y = 18,11,-2
2x + 9y = 19,4x + 20y = 36,14,-1
5x + 4y = 37,7x + 7y = 42,13,-7
5x + 19y = -126,9x + 13y = -36,9,-9
18x + 14y = 86,8x + 4y = 36,4,1
11x + 6y = 23,16x + 20y = 56,1,2
15x + 15y = 135,15x + 12y = 123,5,4
15x + 8y = 33,18x + 9y = 45,7,-9
7x + 13y = -102,10x + 13y = -90,4,-10
17x + 4y = 155,11x + 7y = 65,11,-8
13x + 9y = 176,4x + 7y = 88,8,8
3x - 8y = -17,18x + 19y = 367,13,7
2x + 12y = -30,2x + 7y = -5,15,-5
17x - 17y = 102,18x + 15y = 339,13,7
18x - 2y = 82,12x + 12y = 108,5,4
19x - 18y = -14,12x + 3y = 63,4,5
11x - 10y = -18,14x + 16y = 408,12,15
12x - 17y = 115,6x + 16y = 82,11,1
18x - 18y = 216,19x + 3y = 294,15,3
20x + 13y = 126,3x + y = 17,5,2
6x + 6y = 48,6x + 16y = 78,5,3
19x - 4y = 3,14x + 19y = 90,1,4
4x + 3y = 12,6x + 9y = 0,6,-4
13x + 8y = 173,10x + 18y = 216,9,7
7x + 7y = 91,16x + 4y = 88,3,10
18x + 9y = 117,8x + 15y = 107,4,5
19x - 5y = 250,13x + 16y = 307,15,7
3x + 8y = 76,x + 19y = 156,4,8
5x + 3y = 33,8x + 18y = 132,3,6
9x + y = 28,9x + 3y = 30,3,1
15x + 2y = 217,11x + 6y = 141,15,-4
16x + 15y = 20,4x + 16y = -44,5,-4
18x + 12y = 222,18x + 17y = 202,15,-4
6x + 15y = 90,2x + y = 22,10,2
12x + 16y = 76,8x + 18y = 58,5,1
17x - 16y = -44,4x + 16y = 128,4,7
20x + 14y = 264,14x + 16y = 222,9,6
8x + 17y = 200,18x + 13y = 248,8,8
6x - 9y = -42,5x + 11y = 224,14,14
16x - 9y = 116,11x + 20y = 394,14,12
6x + 18y = -30,9x + 12y = 15,7,-4
17x + 18y = 242,12x + y = 124,10,4
16x + 3y = 47,10x + 13y = 85,2,5
15x + 7y = 111,18x + 7y = 129,6,3
5x - 4y = 18,8x + 7y = 136,10,8
11x + 11y = 55,14x + 4y = 40,2,3
14x - 13y = -58,17x + 2y = 143,7,12
17x + 14y = 138,3x + 7y = 47,4,5
19x + 12y = 92,12x + 12y = 36,8,-5
8x + 14y = -36,13x + 13y = 0,6,-6
10x - 12y = 68,6x + 19y = 67,8,1
16x + 20y = 92,2x + 16y = 52,2,3
12x + 7y = 166,6x + 14y = 188,8,10
7x + 12y = -26,15x + 10y = 70,10,-8
3x - 9y = -66,18x + 2y = 164,8,10
17x + 5y = 49,9x + 16y = 66,2,3
15x + 4y = 83,13x + 17y = 99,5,2
13x - 10y = -6,12x + 2y = 118,8,11
15x + 15y = 135,13x + y = 69,5,4
13x + 11y = 120,3x + 14y = 85,5,5
19x - 11y = 81,9x + 12y = 90,6,3
5x + 10y = 5,16x + 6y = 68,5,-2
11x - 15y = -12,14x + 19y = 99,3,3
5x + 4y = 80,4x + 9y = 122,8,10
14x + 4y = 48,2x + 16y = -132,6,-9
11x - 12y = 21,17x + 5y = 56,3,1
20x + 3y = 124,12x + 14y = 172,5,8
20x - 2y = 96,19x + 17y = 318,6,12
2x - 7y = 13,20x + 18y = 218,10,1
17x + 13y = 7,14x + 11y = 4,5,-6
6x + 13y = 126,8x + 10y = 124,8,6
5x + 3y = 34,6x + 9y = 84,2,8
5x + 7y = -22,17x + 17y = -34,4,-6
13x + 13y = 234,3x + 10y = 117,9,9
x + 10y = 11,19x + 13y = 32,1,1
6x + 16y = 58,x + 4y = 11,7,1
7x + 15y = -87,15x + 19y = -55,9,-10
14x - 6y = 112,8x + 18y = 214,11,7
x + y = 6,18x + 11y = 87,3,3
12x + 6y = 120,7x + 9y = 26,14,-8
5x + y = 36,14x + 19y = 117,7,1
7x + 3y = 38,6x + 4y = 34,5,1
10x + 9y = 99,12x + 15y = 123,9,1
6x - 12y = -18,20x + 7y = 269,11,7
6x + 9y = 78,18x + 14y = 182,7,4
10x - 2y = 14,15x + 18y = 294,4,13
15x + 18y = 87,11x + 4y = 119,13,-6
11x - 6y = 124,16x + 18y = 314,14,5
10x - 10y = 0,10x + 18y = 252,9,9
15x + 10y = 85,16x + 11y = 91,5,1
2x + 10y = -74,19x + 4y = 116,8,-9
17x + 18y = 242,11x + 17y = 178,10,4
9x - 6y = 9,5x + 4y = 71,7,9
14x + 14y = 140,18x + 5y = 115,5,5
18x + 9y = 162,2x + 11y = 78,6,6
12x + 18y = 162,15x + 9y = 162,9,3
18x - 10y = 34,17x + 20y = 356,8,11
6x + 8y = 108,13x + 9y = 184,10,6
13x + 4y = 30,10x + 9y = 29,2,1
17x + 20y = 105,7x + 8y = 43,5,1
16x - 2y = 156,7x + 5y = 127,11,10
6x + y = 49,14x + 6y = 118,8,1
5x + 19y = 220,18x + 8y = 188,6,10
x + 16y = 19,3x + 14y = 23,3,1
7x + 6y = 61,16x + 19y = 187,1,9
20x + 16y = 116,8x + 10y = 50,5,1
14x + 10y = 146,7x + 14y = 154,4,9
12x + 20y = 216,14x + 16y = 186,3,9
11x + 4y = 127,19x + 13y = 195,13,-4
13x + 2y = 133,16x + 4y = 176,9,8
6x + 20y = 172,17x + 16y = 162,2,8
16x + 8y = 64,5x + 13y = -22,6,-4
15x + 17y = 179,18x + 16y = 184,4,7
14x + 20y = 110,11x + 4y = 63,5,2
12x + 8y = 152,12x + 11y = 164,10,4
6x + 12y = 96,6x + 17y = 111,10,3
13x + 10y = 180,14x + 3y = 155,10,5
17x + 4y = 161,18x + 16y = 194,9,2
5x - 7y = -18,8x + 20y = 252,9,9
6x + 15y = 3,8x + 10y = 34,8,-3
11x - 8y = 58,3x + 15y = 33,6,1
9x + 4y = 81,5x + 17y = 178,5,9
7x + 16y = 37,18x + 13y = 67,3,1
17x + 8y = 52,5x + 17y = -14,4,-2
15x - 18y = -57,2x + 19y = 78,1,4
16x + 17y = 134,12x + 12y = 96,2,6
18x + 18y = -108,19x + 7y = 6,4,-10
12x + 7y = 148,18x + 2y = 188,10,4
19x - 13y = 16,17x + 13y = 236,7,9
8x - 12y = -68,4x + 17y = 265,11,13
3x - 4y = 25,15x + 5y = 175,11,2
12x + 14y = 148,20x + 15y = 230,10,2
11x + 15y = 112,20x + 7y = 82,2,6
14x + 20y = 16,8x + 6y = 58,14,-9
19x - 13y = 103,15x + 6y = 309,15,14
3x + 15y = 72,4x + 12y = 64,4,4
5x + 20y = -45,15x + 5y = 195,15,-6
16x + 9y = 133,14x + 14y = 98,10,-3
20x + 5y = 70,6x + 2y = 26,1,10
3x - 7y = 20,4x + 7y = 43,9,1
x + 7y = 72,6x + 7y = 117,9,9
6x - 8y = -54,8x + 15y = 236,7,12
14x + 9y = 78,15x + 17y = 10,12,-10
12x + 8y = 16,14x + 6y = 42,6,-7
17x + 9y = -47,8x + 17y = -137,2,-9
6x + 18y = -12,4x + 2y = 42,13,-5
18x + 4y = 74,20x + 17y = 145,3,5
4x - 10y = -76,17x + 17y = 391,11,12
3x + 19y = 119,13x + 19y = 199,8,5
19x + 8y = 211,12x + 15y = 183,9,5
4x + 9y = 62,2x + 18y = 112,2,6
15x + 8y = 128,5x + 17y = 57,8,1
20x - 3y = 279,9x + 19y = 268,15,7
20x + 14y = 264,2x + 7y = 60,9,6
15x + 3y = 153,11x + 16y = 126,10,1
19x + 19y = 19,8x + 18y = -2,2,-1
2x + 2y = 36,14x + 20y = 306,9,9
10x + 20y = 180,8x + 10y = 96,2,8
6x + 8y = 92,7x + 8y = 102,10,4
4x + 19y = 39,3x + 6y = 21,5,1
13x + 6y = 160,6x + 2y = 70,10,5
18x + 10y = 210,11x + 19y = 51,15,-6
8x - 10y = -96,12x + 12y = 180,3,12
13x - 12y = -45,11x + 11y = 110,3,7
17x - 2y = 176,4x + 5y = 118,12,14
6x - 10y = 80,10x + 17y = 167,15,1
12x - 12y = 36,17x + 15y = 371,13,10
9x + 20y = 178,6x + 17y = 148,2,8
14x + 13y = 201,3x + 12y = 126,6,9
8x + 15y = -49,19x + 2y = 119,7,-7
8x + 11y = -51,15x + 4y = 54,6,-9
9x + 8y = 102,19x + 18y = 212,14,-3
7x + 15y = 164,7x + 6y = 74,2,10
8x + 16y = 144,19x + 17y = 237,8,5
11x + y = 12,12x + 6y = 18,1,1
13x + 17y = 122,6x + 6y = 60,12,-2
11x + 17y = 106,10x + 6y = 68,5,3
19x + 16y = 83,13x + 12y = 61,1,4
15x + 5y = 50,5x + 17y = 32,3,1
4x + 10y = 0,3x + 2y = 11,5,-2
5x + 9y = 121,16x + 3y = 155,8,9
18x + 16y = 222,16x + 6y = 148,7,6
8x - 13y = -174,11x + 3y = 53,1,14
17x + 2y = 168,15x + 11y = 139,10,-1
14x - 13y = 129,14x + 8y = 192,12,3
20x + 5y = 125,7x + 14y = 56,6,1
15x + 12y = 180,10x + 9y = 125,8,5
x + 17y = 90,9x + 13y = 110,5,5
7x + 18y = 250,4x + 6y = 100,10,10
2x + 9y = 89,17x + 17y = 221,4,9
2x - 9y = -115,2x + 11y = 145,1,13
11x - 12y = -158,16x + 12y = 212,2,15
8x + 20y = 212,11x + 14y = 197,9,7
19x + 9y = 181,5x + 19y = 31,10,-1
16x - 10y = -24,2x + 4y = 60,6,12
16x + 8y = 120,x + 8y = 45,5,5
5x + 16y = 21,12x + 13y = 25,1,1
13x - 10y = -33,4x + 18y = 306,9,15
7x + 5y = 64,5x + 5y = 40,12,-4
12x + 7y = 47,20x + 9y = 65,1,5
16x + 6y = 72,7x + 10y = 61,3,4
3x + 2y = 19,14x + 18y = 106,5,2
13x + 5y = 31,9x + 15y = 33,2,1
19x - 12y = 117,16x + 2y = 268,15,14
6x + 19y = -110,10x + 11y = -18,7,-8
12x + 19y = 139,5x + 3y = 53,10,1
13x + 11y = 83,8x + 11y = 13,14,-9
4x + 15y = 27,8x + 7y = 31,3,1
20x + 13y = 139,10x + 14y = 92,5,3
15x + 14y = 173,5x + y = 32,5,7
4x - 8y = -8,15x + 5y = 250,14,8
16x + 14y = 66,13x + 4y = 61,5,-1
3x + 15y = -45,6x + 16y = -20,10,-5
19x + 11y = 251,x + 5y = 53,8,9
9x - 8y = -85,13x + 5y = 109,3,14
20x + 13y = 81,3x + 2y = 12,6,-3
10x - 14y = -32,6x + 10y = 220,15,13
8x + 19y = 208,16x + 11y = 200,7,8
x + 10y = 38,11x + 19y = 145,8,3
17x + 18y = 158,14x + 16y = 136,4,5
15x + 4y = 182,17x + 10y = 250,10,8
13x + 11y = 144,14x + 19y = 198,6,6
8x + 6y = 60,8x + 4y = 56,6,2
4x - 3y = 45,7x + 14y = 98,12,1
19x + 14y = 204,17x + 7y = 177,10,1
19x + 15y = 226,20x + 20y = 280,4,10
10x + 19y = 109,2x + 15y = 33,9,1
3x - 3y = 9,19x + 7y = 161,7,4
13x + 16y = 184,15x + 15y = 195,8,5
3x + 12y = -87,13x + 3y = 113,11,-10
11x - 10y = -73,20x + 5y = 215,7,15
15x + 9y = 177,3x + 15y = 9,13,-2
20x + 4y = 92,8x + 6y = 50,4,3
10x + 13y = 174,8x + 10y = 136,7,8
7x - 17y = 12,9x + 10y = 111,9,3
13x + 2y = 131,7x + 15y = 168,9,7
15x - 15y = 150,4x + 5y = 49,11,1
3x + 2y = 44,16x + 2y = 174,10,7
16x + 7y = 69,19x + 17y = 108,3,3
x + 18y = 166,20x + 16y = 224,4,9
10x - 7y = -55,15x + 13y = 270,5,15
8x - 7y = -8,2x + 13y = 116,6,8
x + 4y = 39,12x + 4y = 72,3,9
8x + 9y = 51,19x + 11y = 90,3,3
14x + 15y = -34,7x + 19y = -86,4,-6
3x + 3y = 15,8x + 8y = 40,1,4
12x + 4y = 96,7x + 6y = 67,7,3
3x - 16y = -161,16x + 19y = 289,5,11
6x + 7y = 62,7x + 12y = 57,15,-4
14x + 13y = 131,13x + 10y = 103,1,9
16x + 16y = 272,5x + 18y = 202,8,9
20x + 18y = 130,7x + 9y = 32,11,-5
5x + 9y = 88,4x + 18y = 146,5,7
15x + 11y = 149,15x + 20y = 185,7,4
11x - 2y = 28,16x + 17y = 200,4,8
16x + 4y = 144,17x + 20y = 216,8,4
12x + 7y = -13,17x + 13y = -40,3,-7
2x + 13y = 44,17x + 20y = 193,9,2
18x + 20y = 158,13x + 3y = 34,1,7
4x + 13y = 110,16x + 19y = 242,8,6
20x + 15y = 205,4x + 17y = -29,14,-5
14x + 2y = 36,11x + 10y = 62,2,4
16x + 5y = 115,3x + 9y = -51,10,-9
2x + 7y = 69,14x + 6y = 96,3,9
15x + 5y = 55,8x + 19y = -134,7,-10
13x - 4y = 74,11x + 16y = 82,6,1
19x + 15y = 272,14x + y = 120,8,8
11x + 15y = 128,20x + 20y = 240,13,-1
13x + 4y = 107,11x + 9y = 113,7,4
10x + 10y = -30,15x + 19y = -85,7,-10
11x + 12y = 46,12x + 15y = 54,2,2
18x + 6y = 180,14x + 6y = 136,11,-3
9x + 17y = 98,x + 2y = 11,9,1
16x + 15y = 97,16x + 12y = 100,7,-1
18x + 15y = 57,2x + 17y = -9,4,-1
6x + 11y = -36,12x + 14y = -24,5,-6
15x + 16y = 310,13x + 13y = 260,10,10
9x + 9y = 36,19x + 18y = 74,2,2
16x + 8y = 64,18x + 11y = 64,6,-4
